Prompt_Version,Industry,JD_Region,JD_framing,Seniority_level,CV_framing,Model_Origin,Metric,Test_Used,F_Statistic,P_Value,Effect_Size,Decision,Pooling_Recommendation
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Agentic,China,Hireability_Score,Kruskal-Wallis,55.530197729117965,5.291700253909662e-12,0.4666,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Agentic,China,Competence_Score,Kruskal-Wallis,44.1936272304693,1.3728055795656294e-09,0.3714,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Agentic,China,Fit_Score,Kruskal-Wallis,44.11959929804036,1.4234277171091724e-09,0.3708,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Agentic,China,Performance_Score,Kruskal-Wallis,44.09762773722627,1.4388082376748819e-09,0.3706,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Agentic,China,Leadership_Avg,Kruskal-Wallis,34.361874339719684,1.6615773831448478e-07,0.2888,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Agentic,China,Status_Score,Kruskal-Wallis,22.308795498084287,5.625815370360156e-05,0.1875,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Agentic,China,Warmth_Score,Kruskal-Wallis,21.71405969075868,7.480576313437999e-05,0.1825,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Agentic,USA,Hireability_Score,Kruskal-Wallis,65.36871748558308,4.1829822297630786e-14,0.5493,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Agentic,USA,Competence_Score,Kruskal-Wallis,86.15236944862275,1.4681836421391286e-18,0.724,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Agentic,USA,Fit_Score,Kruskal-Wallis,85.9341857594838,1.6353853796330947e-18,0.7221,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Agentic,USA,Performance_Score,Kruskal-Wallis,88.9156619963071,3.74492398814196e-19,0.7472,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Agentic,USA,Leadership_Avg,Kruskal-Wallis,87.36199574054548,8.073717173348295e-19,0.7341,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Agentic,USA,Status_Score,Kruskal-Wallis,91.63076671257596,9.778154671218989e-20,0.77,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Agentic,USA,Warmth_Score,Kruskal-Wallis,22.034670008354126,6.415651971806368e-05,0.1852,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,China,Hireability_Score,Kruskal-Wallis,53.81444444444441,1.2291016256177012e-11,0.4522,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,China,Competence_Score,Kruskal-Wallis,18.11292962356792,0.00041687896927308066,0.1522,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,China,Fit_Score,Kruskal-Wallis,47.4072865564609,2.847005863843535e-10,0.3984,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,China,Performance_Score,Kruskal-Wallis,42.3240244898078,3.42458858555986e-09,0.3557,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,China,Leadership_Avg,Kruskal-Wallis,33.1159694701306,3.0442725975915433e-07,0.2783,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,China,Status_Score,Kruskal-Wallis,14.76558182927266,0.002028339086163869,0.1241,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,China,Warmth_Score,Kruskal-Wallis,22.602551007045324,4.8866758725772825e-05,0.1899,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,USA,Hireability_Score,Kruskal-Wallis,60.11825353205082,5.546029557281927e-13,0.5052,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,USA,Competence_Score,Kruskal-Wallis,78.09031292851147,7.881356922245204e-17,0.6562,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,USA,Fit_Score,Kruskal-Wallis,82.26373193020079,1.0032012963506332e-17,0.6913,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,USA,Performance_Score,Kruskal-Wallis,88.98365923961896,3.6210954982464083e-19,0.7478,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,USA,Leadership_Avg,Kruskal-Wallis,86.84281647728606,1.0436293800992128e-18,0.7298,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,USA,Status_Score,Kruskal-Wallis,97.1072441532485,6.50730153288557e-21,0.816,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,USA,Warmth_Score,Kruskal-Wallis,20.663974068738444,0.00012362044144118874,0.1736,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,China,Hireability_Score,Kruskal-Wallis,29.790213996529744,1.5276386154421027e-06,0.2503,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,China,Competence_Score,Kruskal-Wallis,20.823336214347368,0.00011455447857549407,0.175,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,China,Fit_Score,Kruskal-Wallis,32.06594202898537,5.068643327747832e-07,0.2695,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,China,Performance_Score,Kruskal-Wallis,24.018272914824696,2.4761508730894734e-05,0.2018,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,China,Leadership_Avg,Kruskal-Wallis,37.41242791500903,3.763722265857394e-08,0.3144,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,China,Status_Score,Kruskal-Wallis,53.87408194716439,1.1936299644824027e-11,0.4527,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,China,Warmth_Score,Kruskal-Wallis,14.651651651651562,0.002139883975297511,0.1231,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,USA,Hireability_Score,Kruskal-Wallis,78.10494908920566,7.824606119278489e-17,0.6563,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,USA,Competence_Score,Kruskal-Wallis,81.45508039028971,1.4958567468365488e-17,0.6845,Reject H0 (Models Differ),Do Not Pool
