Prompt_Version,Industry,JD_Region,JD_framing,Seniority_level,CV_framing,Model_Origin,Metric,Normality_p_value,Levene_p_value,Assumptions_Passed
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Agentic,China,Hireability_Score,4.897490013396004e-08,0.0845925327412622,False
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Agentic,China,Competence_Score,1.7324497589408543e-09,0.23378033649728355,False
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Agentic,China,Fit_Score,4.897490013396004e-08,0.013436132967463925,False
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Agentic,China,Performance_Score,4.897490013396004e-08,0.16267411777950247,False
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Agentic,China,Leadership_Avg,7.766376725845856e-12,3.5742682957969296e-05,False
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Agentic,China,Status_Score,1.0146373947552399e-08,0.56071085727989,False
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Agentic,China,Warmth_Score,0.0,3.118861611993197e-05,False
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Agentic,USA,Hireability_Score,1.803187030677128e-10,0.00020418902979877864,False
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Agentic,USA,Competence_Score,7.766376725845942e-12,0.00036379624047713,False
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Agentic,USA,Fit_Score,7.766376725845942e-12,6.0977993689592655e-05,False
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Agentic,USA,Performance_Score,7.766376725845942e-12,2.3142401679465154e-05,False
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Agentic,USA,Leadership_Avg,1.7832852553163657e-10,0.010882260343138335,False
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Agentic,USA,Status_Score,7.766376725845942e-12,7.839419647182021e-07,False
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Agentic,USA,Warmth_Score,7.766376725845856e-12,0.023527185121659508,False
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,China,Hireability_Score,4.8081231420595115e-09,0.32816276908574854,False
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,China,Competence_Score,7.766376725845856e-12,0.00024442284730760944,False
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,China,Fit_Score,1.0146373947552326e-08,0.8866556321698184,False
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,China,Performance_Score,4.8081231420595115e-09,0.0015134215796694989,False
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,China,Leadership_Avg,7.766376725845856e-12,5.142386896115258e-09,False
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,China,Status_Score,5.981489887632116e-10,0.05875945103129224,False
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,China,Warmth_Score,1.7832852553163528e-10,0.0771977823225488,False
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,USA,Hireability_Score,4.8081231420595115e-09,0.00017184789542678736,False
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,USA,Competence_Score,4.4017198651534915e-11,7.553336343830512e-21,False
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,USA,Fit_Score,4.8081231420595115e-09,1.68693911984898e-06,False
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,USA,Performance_Score,1.1276526727470863e-09,0.0004686727110094551,False
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,USA,Leadership_Avg,4.4017198651534915e-11,3.9344302138268156e-16,False
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,USA,Status_Score,1.7832852553163657e-10,0.001112654702575186,False
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,USA,Warmth_Score,7.563926247308895e-09,0.059580650836735825,False
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,China,Hireability_Score,4.4017198651534915e-11,0.0027805940557509476,False
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,China,Competence_Score,7.766376725845856e-12,0.0007228491140524095,False
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,China,Fit_Score,1.1276526727470863e-09,0.008646916853754138,False
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,China,Performance_Score,4.4017198651534915e-11,0.0021375374223759724,False
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,China,Leadership_Avg,0.0,5.275436724717517e-07,False
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,China,Status_Score,0.0,6.58651744521749e-14,False
