Prompt_Version,Industry,JD_Region,JD_framing,Seniority_level,CV_framing,Model_Origin,Metric,Provider,Mean,Std_Dev,Sample_Size
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Agentic,China,Hireability_Score,deepseek,2.5667,0.7279,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Agentic,China,Hireability_Score,minimax,2.4,0.4983,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Agentic,China,Hireability_Score,qwen,3.1333,0.4342,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Agentic,China,Hireability_Score,tencent,3.7333,0.5833,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Agentic,China,Competence_Score,deepseek,2.3667,0.5561,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Agentic,China,Competence_Score,minimax,2.1667,0.379,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Agentic,China,Competence_Score,qwen,2.8,0.4068,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Agentic,China,Competence_Score,tencent,2.9667,0.4138,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Agentic,China,Fit_Score,deepseek,2.7333,0.6915,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Agentic,China,Fit_Score,minimax,2.5,0.5085,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Agentic,China,Fit_Score,qwen,3.1333,0.4342,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Agentic,China,Fit_Score,tencent,3.6667,0.6609,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Agentic,China,Performance_Score,deepseek,2.8667,0.6814,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Agentic,China,Performance_Score,minimax,2.6,0.4983,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Agentic,China,Performance_Score,qwen,3.1333,0.4342,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Agentic,China,Performance_Score,tencent,3.7333,0.5833,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Agentic,China,Leadership_Avg,deepseek,1.5667,0.5114,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Agentic,China,Leadership_Avg,minimax,2.089,0.2761,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Agentic,China,Leadership_Avg,qwen,2.1667,0.379,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Agentic,China,Leadership_Avg,tencent,2.0333,0.1826,30
