Analysis_Step,Model_Provider,Model_Name,Outcome,Prompt_Version,N,R_Squared,Term,Coefficient,Std_Error,T_statistic,P_Value,CI_Lower,CI_Upper,Significant_Alpha_0.05,Interaction_Direction
Step_2a,anthropic,claude-haiku-4-5-20251001,Competence_Score,pooled,5760,0.1283699191963934,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],-0.0243055555555553,0.0256156356197924,-0.948856234384252,0.3427335715132527,-0.0745218381926565,0.0259107270815458,False,Negative
Step_2a,anthropic,claude-haiku-4-5-20251001,Fit_Score,pooled,5760,0.1522648368991636,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],-0.0701388888888825,0.0446123432325626,-1.5721857182719792,0.1159624488717679,-0.1575958651717099,0.0173180873939447,False,Negative
Step_2a,anthropic,claude-haiku-4-5-20251001,Hireability_Score,pooled,5760,0.1610396989035762,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],-0.1687499999999936,0.042140587641521,-4.004452938233938,6.294369126289234e-05,-0.2513614054286793,-0.086138594571308,True,Negative
Step_2a,anthropic,claude-haiku-4-5-20251001,Leadership_Avg,pooled,5760,0.0429962254336511,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],-0.2043958333333347,0.0314683549318652,-6.495281808530797,8.982973378050338e-11,-0.2660856476654128,-0.1427060190012565,True,Negative
Step_2a,anthropic,claude-haiku-4-5-20251001,Performance_Score,pooled,5760,0.1524169786842485,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],-0.133333333333327,0.0422268773544349,-3.157546607441089,0.0015992499971974,-0.2161138990622556,-0.0505527676043983,True,Negative
Step_2a,anthropic,claude-haiku-4-5-20251001,Status_Score,pooled,5760,0.1025639264581537,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],-0.0680555555555531,0.0337424205279441,-2.0169138577119,0.0437508456711769,-0.1342033939789707,-0.0019077171321355,True,Negative
Step_2a,anthropic,claude-haiku-4-5-20251001,Warmth_Score,pooled,5760,0.1195520154717807,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],-0.064583333333336,0.0240972882129414,-2.680107934246788,0.0073807996225967,-0.1118230838376634,-0.0173435828290086,True,Negative
Step_2a,deepseek,deepseek-v4-pro,Competence_Score,pooled,5760,0.1534026149718549,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],0.0361111111111112,0.0293520691933536,1.2302748018626244,0.2186444933750273,-0.0214299870085981,0.0936522092308205,False,Positive
Step_2a,deepseek,deepseek-v4-pro,Fit_Score,pooled,5760,0.2413421967742837,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],0.0041666666666761,0.0484425264835762,0.0860125796306023,0.9314594088083556,-0.0907989097360005,0.0991322430693529,False,Positive
Step_2a,deepseek,deepseek-v4-pro,Hireability_Score,pooled,5760,0.2335075551910177,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],0.0319444444444511,0.0424728806138967,0.7521139132248829,0.452013311129004,-0.0513183802215634,0.1152072691104657,False,Positive
Step_2a,deepseek,deepseek-v4-pro,Leadership_Avg,pooled,5760,0.0949238236539226,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],0.012412037037039,0.033517988475713,0.3703097232709174,0.7111653551693774,-0.0532958301307381,0.0781199042048163,False,Positive
Step_2a,deepseek,deepseek-v4-pro,Performance_Score,pooled,5760,0.2641794163279726,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],-0.0173611111111004,0.0468626199774045,-0.3704682136737418,0.7110472879448524,-0.1092294763872724,0.0745072541650714,False,Negative
Step_2a,deepseek,deepseek-v4-pro,Status_Score,pooled,5760,0.1658808869996544,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],-0.00208333333333,0.0364037427591395,-0.0572285478203201,0.9543651239693444,-0.0734483645421903,0.0692816978755302,False,Negative
Step_2a,deepseek,deepseek-v4-pro,Warmth_Score,pooled,5760,0.0170297015309537,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],-0.0909722222222236,0.0293444355232307,-3.1001524002806207,0.0019435539735906,-0.1484983554766397,-0.0334460889678075,True,Negative
Step_2a,google,gemini-2.5-flash,Competence_Score,pooled,5760,0.2663505008169351,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],-0.1395833333333289,0.0275156964549121,-5.072862086629473,4.04164334761824e-07,-0.1935244500264836,-0.0856422166401743,True,Negative
Step_2a,google,gemini-2.5-flash,Fit_Score,pooled,5760,0.4582240525158739,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],-0.4284722222221993,0.0569471721795842,-7.524029830155603,6.128711301895733e-14,-0.5401101037098671,-0.3168343407345315,True,Negative
Step_2a,google,gemini-2.5-flash,Hireability_Score,pooled,5760,0.4379962756356007,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],-0.2916666666666475,0.0485250998447999,-6.01063506514151,1.961361959701231e-09,-0.386794117922131,-0.1965392154111641,True,Negative
Step_2a,google,gemini-2.5-flash,Leadership_Avg,pooled,5751,0.136871033680325,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],-0.190030191041924,0.0461906085274581,-4.114043895502261,3.942207982228437e-05,-0.2805811908845651,-0.0994791911992829,True,Negative
Step_2a,google,gemini-2.5-flash,Performance_Score,pooled,5760,0.4315527551406872,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],-0.3298611111110931,0.0488716619786908,-6.749537416078056,1.6286556975509236e-11,-0.4256679545286564,-0.2340542676935297,True,Negative
Step_2a,google,gemini-2.5-flash,Status_Score,pooled,5760,0.3005069896752319,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],-0.2763888888888814,0.0409009621324553,-6.757515581022579,1.5421424045015487e-11,-0.3565701619620262,-0.1962076158157367,True,Negative
Step_2a,google,gemini-2.5-flash,Warmth_Score,pooled,5760,0.1104276367316945,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],-0.0527777777777794,0.0198963422131527,-2.652637214034752,0.0080084842959816,-0.0917820936905251,-0.0137734618650338,True,Negative
Step_2a,minimax,MiniMax-M3,Competence_Score,pooled,5760,0.0860441789221539,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],0.0631944444444435,0.0198029682805402,3.1911602113983384,0.0014246412219873,0.0243731765676943,0.1020157123211926,True,Positive
Step_2a,minimax,MiniMax-M3,Fit_Score,pooled,5760,0.2142146025112933,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],0.0180555555555582,0.0254622025095684,0.7091120867793412,0.4782836428038446,-0.0318599404626489,0.0679710515737654,False,Positive
Step_2a,minimax,MiniMax-M3,Hireability_Score,pooled,5760,0.1803091098957151,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],0.0409722222222235,0.0245934857655203,1.6659786503166598,0.0957720803873203,-0.0072402621589429,0.08918470660339,False,Positive
Step_2a,minimax,MiniMax-M3,Leadership_Avg,pooled,5759,0.1703440388346571,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],0.0458470147092851,0.0225502102674536,2.033108080391401,0.0420874051773422,0.0016401173865557,0.0900539120320146,True,Positive
Step_2a,minimax,MiniMax-M3,Performance_Score,pooled,5760,0.2433856259413418,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],0.06527777777778,0.0245774485971762,2.656003023246271,0.0079290899911617,0.0170967322798884,0.1134588232756715,True,Positive
Step_2a,minimax,MiniMax-M3,Status_Score,pooled,5760,0.2070361903948032,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],0.0625000000000006,0.0223061096416804,2.8019229262289307,0.0050968742816381,0.01877163335212,0.1062283666478812,True,Positive
