Phrase_ID,Source_Record_ID,Source,Company,Country,Industry,Job_Function,Position,Seniority,Phrase,Word_Count
P_000001,JDRAW_00001,2021_10_08_11_02_Sales_dataFile,TOP ONE TECH LIMITED,"Shenzhen, Guangdong, China",Sales / Business Development,Unknown,Sales Manager,Unknown,"Propose sales work according to the sales tasks of the company and the department, and complete various sales targets",19
P_000002,JDRAW_00001,2021_10_08_11_02_Sales_dataFile,TOP ONE TECH LIMITED,"Shenzhen, Guangdong, China",Sales / Business Development,Unknown,Sales Manager,Unknown,"Analyze the existing market and customers, discover the potential needs of customers, guide the existing needs of related customers, and achieve sales goals",23
P_000003,JDRAW_00001,2021_10_08_11_02_Sales_dataFile,TOP ONE TECH LIMITED,"Shenzhen, Guangdong, China",Sales / Business Development,Unknown,Sales Manager,Unknown,"According to the characteristics of customer needs, provide customers with the best product solutions",14
P_000004,JDRAW_00001,2021_10_08_11_02_Sales_dataFile,TOP ONE TECH LIMITED,"Shenzhen, Guangdong, China",Sales / Business Development,Unknown,Sales Manager,Unknown,"Responsible for the business relationship with customers, establish customer relationship, contract amount and profit margin",15
P_000005,JDRAW_00001,2021_10_08_11_02_Sales_dataFile,TOP ONE TECH LIMITED,"Shenzhen, Guangdong, China",Sales / Business Development,Unknown,Sales Manager,Unknown,"Responsible for negotiating various internal and external resources, solving problems in the process of project implementation, and improving the organization of the client",23
P_000006,JDRAW_00001,2021_10_08_11_02_Sales_dataFile,TOP ONE TECH LIMITED,"Shenzhen, Guangdong, China",Sales / Business Development,Unknown,Sales Manager,Unknown,"Responsible for the monitoring and execution of the project payment process, and improve the payment return rate",17
P_000007,JDRAW_00001,2021_10_08_11_02_Sales_dataFile,TOP ONE TECH LIMITED,"Shenzhen, Guangdong, China",Sales / Business Development,Unknown,Sales Manager,Unknown,"Through customer return visits, understand customer needs and needs to improve customer satisfaction and secondary development of potential customers",19
P_000008,JDRAW_00001,2021_10_08_11_02_Sales_dataFile,TOP ONE TECH LIMITED,"Shenzhen, Guangdong, China",Sales / Business Development,Unknown,Sales Manager,Unknown,Other tasks assigned by superiors.,5
P_000009,JDRAW_00002,2021_10_09_01_12_Sales_dataFile,Humana Inc.,"Aberdeen, SD",Sales / Business Development,Sales and Business Development,Regional Sales Director,Director,Description Responsibilities Business & Sales Acumen & Management Geography-based,6
P_000010,JDRAW_00002,2021_10_09_01_12_Sales_dataFile,Humana Inc.,"Aberdeen, SD",Sales / Business Development,Sales and Business Development,Regional Sales Director,Director,a Regional Sales Director is assigned to each Partner Channel Region.,11
P_000011,JDRAW_00002,2021_10_09_01_12_Sales_dataFile,Humana Inc.,"Aberdeen, SD",Sales / Business Development,Sales and Business Development,Regional Sales Director,Director,"Drive external sales and growth within the Region and nationally, through management of Broker Relationship Managers (BRMs).",17
P_000012,JDRAW_00002,2021_10_09_01_12_Sales_dataFile,Humana Inc.,"Aberdeen, SD",Sales / Business Development,Sales and Business Development,Regional Sales Director,Director,Management of Broker Relationship Managers within the Region.,8
P_000013,JDRAW_00002,2021_10_09_01_12_Sales_dataFile,Humana Inc.,"Aberdeen, SD",Sales / Business Development,Sales and Business Development,Regional Sales Director,Director,Assessment of BRM activities within the Region.,7
P_000014,JDRAW_00002,2021_10_09_01_12_Sales_dataFile,Humana Inc.,"Aberdeen, SD",Sales / Business Development,Sales and Business Development,Regional Sales Director,Director,"Overall management of Partners & Agencies, in coordination with BRM's in the Director's downline.",13
P_000015,JDRAW_00002,2021_10_09_01_12_Sales_dataFile,Humana Inc.,"Aberdeen, SD",Sales / Business Development,Sales and Business Development,Regional Sales Director,Director,"Contract Management Production goal setting Review of production (Partner Scorecard) Co-Op marketing decisions Align strategic direction, sales expectations, products & sales opportunities with the Partner's strategic initiatives.",25
P_000016,JDRAW_00002,2021_10_09_01_12_Sales_dataFile,Humana Inc.,"Aberdeen, SD",Sales / Business Development,Sales and Business Development,Regional Sales Director,Director,"Communication of strategic direction to BRM, AE attached to the Agency or Partner.",13
P_000017,JDRAW_00002,2021_10_09_01_12_Sales_dataFile,Humana Inc.,"Aberdeen, SD",Sales / Business Development,Sales and Business Development,Regional Sales Director,Director,"Manage resources available to achieve sales/growth results as well as operational goals (including Clinical engagement, bid planning, retention, Provider engagement and Humana Pharmacy utilization).",23
