jobTitle,companyName,location,datePosted,appStatus,description,seniorityLevel,employmentType,jobFunction,industries,Source,Date,Company,Link
Sales Manager,TOP ONE TECH LIMITED,"Shenzhen, Guangdong, China",,Be among the first 25 applicants,"1. Propose sales work according to the sales tasks of the company and the department, and complete various sales targets;  2. Analyze the existing market and customers, discover the potential needs of customers, guide the existing needs of related customers, and achieve sales goals;  3. According to the characteristics of customer needs, provide customers with the best product solutions;  4. Responsible for the business relationship with customers, establish customer relationship, contract amount and profit margin;  5. Responsible for negotiating various internal and external resources, solving problems in the process of project implementation, and improving the organization of the client;  6. Responsible for the monitoring and execution of the project payment process, and improve the payment return rate;  7. Through customer return visits, understand customer needs and needs to improve customer satisfaction and secondary development of potential customers;  8. Other tasks assigned by superiors.",,Full-time,,,2021_10_08_11_02_Sales_dataFile,,,
Regional Sales Director,Humana Inc.,"Aberdeen, SD",4 weeks ago,Be among the first 25 applicants,"Description  Responsibilities  Business & Sales Acumen & Management Geography-based; a Regional Sales Director is assigned to each Partner Channel Region. Drive external sales and growth within the Region and nationally, through management of Broker Relationship Managers (BRMs). Management of Broker Relationship Managers within the Region. Assessment of BRM activities within the Region. Coaching where appropriate. Overall management of Partners & Agencies, in coordination with BRM's in the Director's downline. Contract Management Production goal setting Review of production (Partner Scorecard) Co-Op marketing decisions Align strategic direction, sales expectations, products & sales opportunities with the Partner's strategic initiatives. Communication of strategic direction to BRM, AE attached to the Agency or Partner. Manage resources available to achieve sales/growth results as well as operational goals (including Clinical engagement, bid planning, retention, Provider engagement and Humana Pharmacy utilization). Manage budgetary resources. Develop external market and national engagement and sales strategy in coordination with BRMs, career markets, telesales managers, operations director and national sales strategy director. Identify opportunities for strategic and/or process opportunities. Lead and/or participate in cross-functional teams to improve processes and strategies. Collaboration & Communication Alignment with counterparts in other regions to drive a consistent Agent experience across all markets, especially for national partners with Agents in multiple markets. Regular communication with counterparts in both Partner & Career channel - Regional Sales Directors, Career RVP's, Career Market Directors. Coordinate strategic direction & support activities among Career & Partner Channel resources. Address opportunities for further engagement with local Career market teams within their Region. Communication of key information related to external Partners to impacted BRM, BRE, AE & Career teams. Participation in Career channel Regional, Market meetings as appropriate. Utilization of appropriate CRM systems, and ensure utilization of appropriate CRM systems by the BRM's in their downline. Requirements Bachelor Degree 5 or more years of management experience This role is part of Humana's Driver safety program and therefore requires an individual to have a valid state driver's license and proof of personal vehicle liability insurance with at least 100/300/100 limits Active Health & Life Insurance Licenses Strong verbal and written communication skills Excellent interpersonal, leadership and relationship building skills Must be passionate about contributing to an organization focused on continuously improving consumer experiences Preferred Qualifications Master's Degree of Business Administration or a related field Experience within the health insurance industry Valid Health and Life License within the state of application Scheduled Weekly Hours  40",Director,Full-time,Sales and Business Development,Insurance,2021_10_09_01_12_Sales_dataFile,,,
Regional Sales Director,Humana Inc.,"Aberdeen, SD",4 weeks ago,Be among the first 25 applicants,"Description  Responsibilities  Business & Sales Acumen & Management Geography-based; a Regional Sales Director is assigned to each Partner Channel Region. Drive external sales and growth within the Region and nationally, through management of Broker Relationship Managers (BRMs). Management of Broker Relationship Managers within the Region. Assessment of BRM activities within the Region. Coaching where appropriate. Overall management of Partners & Agencies, in coordination with BRM's in the Director's downline. Contract Management Production goal setting Review of production (Partner Scorecard) Co-Op marketing decisions Align strategic direction, sales expectations, products & sales opportunities with the Partner's strategic initiatives. Communication of strategic direction to BRM, AE attached to the Agency or Partner. Manage resources available to achieve sales/growth results as well as operational goals (including Clinical engagement, bid planning, retention, Provider engagement and Humana Pharmacy utilization). Manage budgetary resources. Develop external market and national engagement and sales strategy in coordination with BRMs, career markets, telesales managers, operations director and national sales strategy director. Identify opportunities for strategic and/or process opportunities. Lead and/or participate in cross-functional teams to improve processes and strategies. Collaboration & Communication Alignment with counterparts in other regions to drive a consistent Agent experience across all markets, especially for national partners with Agents in multiple markets. Regular communication with counterparts in both Partner & Career channel - Regional Sales Directors, Career RVP's, Career Market Directors. Coordinate strategic direction & support activities among Career & Partner Channel resources. Address opportunities for further engagement with local Career market teams within their Region. Communication of key information related to external Partners to impacted BRM, BRE, AE & Career teams. Participation in Career channel Regional, Market meetings as appropriate. Utilization of appropriate CRM systems, and ensure utilization of appropriate CRM systems by the BRM's in their downline. Requirements Bachelor Degree 5 or more years of management experience This role is part of Humana's Driver safety program and therefore requires an individual to have a valid state driver's license and proof of personal vehicle liability insurance with at least 100/300/100 limits Active Health & Life Insurance Licenses Strong verbal and written communication skills Excellent interpersonal, leadership and relationship building skills Must be passionate about contributing to an organization focused on continuously improving consumer experiences Preferred Qualifications Master's Degree of Business Administration or a related field Experience within the health insurance industry Valid Health and Life License within the state of application Scheduled Weekly Hours  40",Director,Full-time,Sales and Business Development,Insurance,2021_10_09_17_03_Sales_dataFile,,,
Regional Sales Director,PAW BioScience (Now Avantor Fluid Handling),"Albuquerque, NM",,Be among the first 25 applicants,"Job Summary  Achieve growth and hit regional sales targets by successfully managing the sales team in the 4 corner states of Colorado, Arizona, Utah and New Mexico. Design and implement a strategic business plan that expands Avantor's customer base and ensure it's strong presence. Identify emerging markets and market shifts while being fully aware of new products and competition status. Establish sales objectives by forecasting and developing annual sales quotas for regions and territories; project expected sales volume and profit for existing and new products.  Achieve growth and hit regional sales targets by successfully managing the sales team. Design and implement a strategic business plan that expands Avantor's customer base and ensure it's strong presence. Identify emerging markets and market shifts while fully ware of new products and competitors status. Establish sales objectives by forecasting and developing annual sales quotas for regions and territories: project expected sales volume and profit for existing and new products.  Disclaimer  The above statements are intended to describe the general nature and level of work being performed by employees assigned to this classification. They are not intended to be construed as an exhaustive list of all responsibilities, duties and skills required of employees assigned to this position.  Avantor is proud to be an equal opportunity employer.  EEO Statement  We are an Equal Employment/Affirmative Action employer. We do not discriminate in hiring on the basis of sex, gender identity, sexual orientation, race, color, religious creed, national origin, physical or mental disability, protected Veteran status, or any other characteristic protected by federal, state/province, or local law.  If you need a reasonable accommodation for any part of the employment process, please contact us by email at TalentManagement@avantorsciences.com and let us know the nature of your request and your contact information. Requests for accommodation will be considered on a case-by-case basis. Please note that only inquiries concerning a request for reasonable accommodation will be responded to from this email address.  For more information about equal employment opportunity protections, please view the Equal Employment Opportunity is THE LAW Poster, EEO is the Law Poster Supplement, and Pay Transparency Non-Discrimination Provision using the links below.  EEO is the Law  OFCCP EEO Supplement  PAY TRANSPARENCY NONDISCRIMINATION PROVISION  3rd party non-solicitation policy  By submitting candidates without having been formally assigned on and contracted for a specific job requisition by Avantor, or by failing to comply with the Avantor recruitment process, you forfeit any fee on the submitted candidates, regardless of your usual terms and conditions. Avantor works with a preferred supplier list and will take the initiative to engage with recruitment agencies based on its needs and will not be accepting any form of solicitation",Director,Full-time,Sales and Business Development,"Construction, Chemicals, and Machinery",2021_10_09_17_03_Sales_dataFile,,,
Area Sales Director,PAW BioScience (Now Avantor Fluid Handling),"Albuquerque, NM",,Be among the first 25 applicants,"Job Summary  Achieve growth and hit regional sales targets by successfully managing the sales team in the 4 corner states of Colorado, Arizona, Utah and New Mexico. Design and implement a strategic business plan that expands Avantor's customer base and ensure it's strong presence. Identify emerging markets and market shifts while being fully aware of new products and competition status. Establish sales objectives by forecasting and developing annual sales quotas for regions and territories; project expected sales volume and profit for existing and new products.  Achieve growth and hit regional sales targets by successfully managing the sales team. Design and implement a strategic business plan that expands Avantor's customer base and ensure it's strong presence. Identify emerging markets and market shifts while fully ware of new products and competitors status. Establish sales objectives by forecasting and developing annual sales quotas for regions and territories: project expected sales volume and profit for existing and new products.  Disclaimer  The above statements are intended to describe the general nature and level of work being performed by employees assigned to this classification. They are not intended to be construed as an exhaustive list of all responsibilities, duties and skills required of employees assigned to this position.  Avantor is proud to be an equal opportunity employer.  EEO Statement  We are an Equal Employment/Affirmative Action employer. We do not discriminate in hiring on the basis of sex, gender identity, sexual orientation, race, color, religious creed, national origin, physical or mental disability, protected Veteran status, or any other characteristic protected by federal, state/province, or local law.  If you need a reasonable accommodation for any part of the employment process, please contact us by email at TalentManagement@avantorsciences.com and let us know the nature of your request and your contact information. Requests for accommodation will be considered on a case-by-case basis. Please note that only inquiries concerning a request for reasonable accommodation will be responded to from this email address.  For more information about equal employment opportunity protections, please view the Equal Employment Opportunity is THE LAW Poster, EEO is the Law Poster Supplement, and Pay Transparency Non-Discrimination Provision using the links below.  EEO is the Law  OFCCP EEO Supplement  PAY TRANSPARENCY NONDISCRIMINATION PROVISION  3rd party non-solicitation policy  By submitting candidates without having been formally assigned on and contracted for a specific job requisition by Avantor, or by failing to comply with the Avantor recruitment process, you forfeit any fee on the submitted candidates, regardless of your usual terms and conditions. Avantor works with a preferred supplier list and will take the initiative to engage with recruitment agencies based on its needs and will not be accepting any form of solicitation",Director,Full-time,Sales and Business Development,"Construction, Chemicals, and Machinery",2021_10_09_17_03_Sales_dataFile,,,
Service Sales Executive - Digital Enterprise Services,Siemens,"Alpharetta, GA",4 weeks ago,Be among the first 25 applicants,"Position Overview  This position is responsible for driving sustainable growth in Siemens Digital Enterprise Services business through expanding service scopes in existing customer base and developing new service customer base. Geographic responsibility is the western United States based in Seattle, WA, or other suitable location within responsible geography. Variable compensation (bonus) for this role is based on services order intake and services growth in targeted accounts.  Position drive services growth with existing service portfolio as well as incremental growth through emerging Digital Enterprise service portfolio. Position also works closely with the Siemens Digital Industry Product and Project groups.  Responsibilities  Drive services growth in industrial customer base within geographic area of responsibility Identify and implement strategies/ programs to drive service volume based on industry trends and installed base targeting Drive growth in existing Service Agreement base through scope expansion Support contract negotiations for large/ strategic service opportunities Develop regional strategy to drive existing and emerging Digital Enterprise Service portfolio in the US Develop senior level relationships with the targeted Siemens customers and Solution Partners. Execute a disciplined selling process to identify and pursue service opportunities. Achieve sales targets for vertical industries (Automotive, Food & Beverage, emerging verticals, etc.) Develop and maintain a sales funnel to support growth objectives by identifying, developing, and closing opportunities with end users. Track and regularly report on opportunities and conversion progress. Facilitate engagement and communication for opportunities that span geographies. Drive services growth through maintaining established customer base and acquiring new customer base. Support customer/internal program reviews. Understand relevant industry standards and customer applications. Identify customer technical / commercial challenges and engage appropriate resources to bring issues to resolution. Understand important industry trends and correlate trends to drive incremental service opportunity Coordinate with marketing groups to assist with industry messaging and collateral. Participate in professional organizations and support industry events  Required Knowledge/Skills, Education, and Experience:  Bachelor degree or 4 years equivalent experience. Seven plus years of digital transformation service sales, automation and drive services/ solutions sales and marketing experience. Specific experience in Automotive, Food & Beverage, or Aerospace verticals is desired This position requires strong closing skills and contract negotiation experience This position requires strong verbal and written communication skills and the ability to communicate and work with a variety of people not under direct control in a fast-paced team environment. This position requires strong influence skills in a matrix environment The Physical location for this role is is Seattle, WA or any other location within the geography (western US/ e.g. Los Angeles would be OK) This position requires employees to be fully vaccinated against COVID-19 unless they are granted a medical or religious exemption.  Organization: Digital Industries  Company: Siemens Industry, Inc.  Experience Level: Experienced Professional  Job Type: Full-time  Equal Employment Opportunity Statement  Siemens is an Equal Opportunity and Affirmative Action Employer encouraging diversity in the workplace. All qualified applicants will receive consideration for employment without regard to their race, color, creed, religion, national origin, citizenship status, ancestry, sex, age, physical or mental disability unrelated to ability, marital status, family responsibilities, pregnancy, genetic information, sexual orientation, gender expression, gender identity, transgender, sex stereotyping, order of protection status, protected veteran or military status, or an unfavorable discharge from military service, and other categories protected by federal, state or local law.  EEO is the Law  Applicants and employees are protected under Federal law from discrimination. To learn more, Click here.  Pay Transparency Non-Discrimination Provision  Siemens follows Executive Order 11246, including the Pay Transparency Nondiscrimination Provision. To learn more, Click here.  California Privacy Notice  California residents have the right to receive additional notices about their personal information. To learn more, click here.  Equal Employment Opportunity Statement  Siemens is an Equal Opportunity and Affirmative Action Employer encouraging diversity in the workplace. All qualified applicants will receive consideration for employment without regard to their race, color, creed, religion, national origin, citizenship status, ancestry, sex, age, physical or mental disability, marital status, family responsibilities, pregnancy, genetic information, sexual orientation, gender expression, gender identity, transgender, sex stereotyping, protected veteran or military status, and other categories protected by federal, state or local law.  EEO is the Law  Applicants and employees are protected under Federal law from discrimination. To learn more, Click here.  Pay Transparency Non-Discrimination Provision  Siemens follows Executive Order 11246, including the Pay Transparency Nondiscrimination Provision. To learn more, Click here.",Mid-Senior level,Full-time,"Sales, Business Development, and Product Management",Electrical/Electronic Manufacturing,2021_10_09_14_59_Sales_dataFile,,,
Account/Sales Reps,FundMerica,"Anaheim, CA",2 weeks ago,Be among the first 25 applicants,"Job Description: We are for sales reps, professional and motivated individuals looking for a great place to find a real opportunity. As a new team member, you will start out handling our current client lead database through follow up calls, emails and will also be calling out on targeted data lists with some warm lead calling. Previous experience in business loans or commercial lending is a plus. SBA, Equipment Leasing, mortgages, home loans, MCA or Merchant Cash Advance very helpful.  Position is base + commission.  Health benefits after 90 days.  This company handles small business consulting nationwide so 100% of work is phone based. The ideal person for this accounts manager is someone who is mature, can work independently and is looking for professional growth opportunities.  This commercial loans account manager duties include but are not limited to:  Inbound ,and outbound calls  Current client follow up  Closing new accounts  Maintaining relationships  Required Qualifications  Phone Sales/CRM  2+ years B2B sales experience, preferably in a fast-paced environment.  Excellent written and oral communication.  Basic computational skills including; typing proficiency, MS Office Suite, Adobe Acrobat, ability to manage multiple browser tabs at a given time, navigating Windows 10.  Prior utilization and understanding of CRM systems.  Ability to multi-task and manage a pipeline at various stages of sales process and development.  Ability to meet required performance metrics and manage time effectively with little to no supervision.",Entry level,Full-time,Sales and Business Development,"Marketing and Advertising, Financial Services, and Real Estate",2021_10_09_09_30_Sales_dataFile,,,
Solution Architect,ST Engineering,"Ang Mo Kio, Singapore",3 weeks ago,Be among the first 25 applicants,"The Solution Architect as part of the System Integration team in iDirect is responsible for the various critical components of the business functions such as design and implementation turn key projects, presales activities such as tender bidding and requirements gathering, engineering prototyping to production of unique systems/ product lines, leading the engineering team in technical aspects and also supporting daily operation issues from the implementation team.  He/ She is responsible for looking out for new technology areas not limited to Satellite communication domains to support business owners in business development strategies and planning.    Primary Responsibilities/ Key Result Areas:  Presales activities in requirements gatherings as well as tender bidding to support the global sales team Working with Project managers and customers to manage/ negotiate resources, scope and schedule Working closely with the product development teams on concepts, design and testing of new products till production phase Manage the activities of the vendors and partners to ensure systems are delivered in timely manner Effective communication on the updates to senior managements on the progress in various domain such as engineering development works, project delivery schedules and resource management issues Evaluate and recommendations of new and emerging technologies to the augment to current technological roadmap Documentations and test plan review    Competencies:  Excellent writing and presentation skills in working with both technical and non-technical staff Sense of ownership in work and competitive drive and meticulous in his/ her work Ability to work in a fast pace environment with speed and focus    Qualifications & Experience  BS in Electrical/ Electronic Engineering or, equivalent Have at least 10 years experience in system engineering design for satellite communication business not limited to performance analysis of satellite communication systems, satellite terminal, satellite-based networks Experienced in operating RF, Antennas, WAN/LAN equipment as well as test instruments Experienced in on-site deployments of satellite terminals and troubleshooting Good understanding of GEO, LEO and MEO telecommunications and systems and in-depth knowledge of VSAT systems that includes link budget analysis and network optimization",Director,Full-time,Engineering,Broadcast Media and Telecommunications,2021_10_09_22_38_Sales_dataFile,,,
Sales Representative,Blink Printing,"Apopka, FL",2 weeks ago,Be among the first 25 applicants,"We are seeking a Sales Representative to join our team! You will resolve customer questions and offer solutions to drive company revenue.  Responsibilities Present and sell company products and services to new and existing customers Prospect and contact potential customers Reach agreed upon sales targets by the deadline Resolve customer inquiries and complaints Set follow-up appointments to keep customers aware of latest developments Qualifications Previous experience in sales, customer service, or other related fields Familiarity with the sign and printing industry Ability to build rapport with clients Strong negotiation skills Deadline and detail-oriented",Entry level,Full-time,Sales and Business Development,Printing,2021_10_09_09_30_Sales_dataFile,,,
Regional Sales Manager,Charlton Morris,"Arizona, United States",2 days ago,Be among the first 25 applicants,"This is an exciting role to work with a people first company. An autonomous Sales Leader to help drive business development into new regions implementing their strategies in line with company targets.  Responsibilities Answer customer technical questions about products, prices, availability, and product uses. Provide product information and practical training to customer personnel. Prepare sales quotes and technical support, processing credits and pick-up requests. Assist with planning and scheduling orders received to ensure timely delivery goals are met. Travel to visit existing and potential customer locations, conventions, company meetings, training etc. Travel will involve use of personal vehicle and occasional airline travel. Review and analyse daily and weekly reports for special order requests, customer bid files, and sales/profit margin data. Prepare sales budgets and reports, maintain sales records, reporting of results, opportunities and needs to ensure the success within the region",Mid-Senior level,Full-time,Sales and Business Development,Mechanical or Industrial Engineering and Machinery,2021_10_09_14_59_Sales_dataFile,,,
